,ball8.exe,bloodtd.exe,copyfile.exe,dzpoker.exe,dzreplay.exe,fish.exe,fourensignr.exe,gameplaza.exe,gameplaza2011.exe,land.exe,lkadupdate.exe,lkbugreport.exe,lkexternal.exe,lknotify.exe,lkupdatecopy.exe,lkupdatecopy2.exe,llshow.exe,ox.exe,repair2012.exe,repair201304.exe,setupstat.exe,sgland.exe,snooker.exe,unins000.exe,update201207.exe,xzsparrow.exe,zajinhua.exe,zhipai.exe
advapi32.dll,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1
animationplayer.dll,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
channelmoduled.dll,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clientshared.dll,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
comctl32.dll,0,0,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1
comdlg32.dll,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0
comserviced.dll,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crashrpt.dll,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1
d3d9.dll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
d3dx9_25.dll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
dbghelp.dll,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
dsound.dll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
